LAD19CD,Name,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
E06000019,"Herefordshire, County of",NA,NA,NA,NA,NA,0.52,2.6,4.68,10.41,19.26,23.42,26.55,66.11,56.74,52.05,36.44,40.08,17.18,17.7,9.37,2.08,1.56,2.08,35.92,24.47,5.73,5.73,3.64,5.21,5.21,2.6,12.49,19.26,8.85,11.45
E06000020,Telford and Wrekin,NA,NA,NA,NA,NA,0.56,0.56,3.94,23.06,26.43,19.12,31.5,41.62,31.5,30.93,34.31,38.25,15.75,10.12,10.12,8.44,5.06,3.37,6.75,8.44,2.81,5.06,2.81,15.19,10.69,3.37,15.19,14.06,20.81,31.5
E06000021,Stoke-on-Trent,NA,NA,NA,NA,NA,NA,1.17,3.13,16.81,29.32,35.57,38.7,55.9,74.66,68.4,58.24,41.43,44.56,28.53,22.28,17.98,14.46,12.51,10.55,4.3,3.52,5.86,16.42,24.23,23.45,15.24,30.1,31.27,39.09,39.48
E06000022,Bath and North East Somerset,NA,NA,NA,NA,NA,NA,2.08,7.81,14.58,12.49,33.84,25.51,21.86,22.38,9.37,8.85,7.29,5.21,1.56,1.04,1.56,NA,NA,1.04,2.08,3.12,3.64,1.56,5.21,15.62,7.81,17.7,7.29,14.58,25.51
E06000023,"Bristol, City of",NA,NA,NA,NA,NA,0.65,1.73,6.47,15.97,24.17,30,26.97,38.41,36.04,27.19,12.08,15.11,20.28,11.01,4.75,1.73,2.16,2.37,2.16,2.59,5.18,3.45,4.32,8.63,11.87,9.93,19.64,12.95,17.7,20.72
E06000024,North Somerset,NA,NA,NA,NA,NA,NA,1.87,1.87,10.75,21.04,17.3,23.37,46.75,68.25,54.23,47.68,49.08,41.14,21.5,7.48,1.4,3.74,1.4,1.87,1.87,1.87,2.34,4.21,2.34,1.87,11.22,26.65,12.15,25.24,20.1
E06000025,South Gloucestershire,NA,NA,NA,NA,NA,0.35,4.25,3.54,18.75,24.77,26.89,21.94,45.64,43.52,18.04,21.23,16.63,4.95,6.72,2.83,0.35,0.71,1.77,0.35,2.12,2.48,2.83,4.6,2.48,10.97,9.2,13.44,14.86,16.63,16.63
E06000026,Plymouth,NA,NA,NA,NA,NA,NA,2.28,3.8,12.54,20.52,17.86,34.59,45.61,36.87,23.19,25.47,7.98,7.6,3.42,1.52,1.52,2.28,3.42,1.52,1.14,2.28,2.66,1.52,3.42,7.22,13.3,12.92,18.62,20.9,16.34
E06000027,Torbay,NA,NA,NA,NA,NA,5.16,0.74,7.36,14.73,17.68,29.46,41.24,46.4,11.78,8.1,8.84,3.68,0.74,NA,0.74,0.74,NA,4.42,0.74,1.47,5.16,0.74,1.47,1.47,9.57,2.95,10.31,0.74,8.84,11.78
E06000030,Swindon,NA,NA,NA,NA,NA,0.9,1.35,3.15,11.26,26.58,45.5,41.89,42.34,44.6,30.18,27.93,15.77,9.01,6.76,5.86,10.36,7.66,3.15,4.96,8.56,23.42,49.1,49.55,42.79,40.09,19.82,16.22,11.71,9.91,14.41
E06000031,Peterborough,NA,NA,NA,NA,NA,NA,0.99,6.96,11.94,20.39,21.39,23.88,56.21,110.43,81.58,75.11,61.68,36.81,35.32,26.36,27.86,22.88,19.4,33.33,21.89,19.9,22.88,16.41,14.92,18.9,21.39,26.36,27.86,19.4,24.37
